N°DPE,Date_établissement_DPE,Etiquette_DPE,Etiquette_GES,Surface_habitable_logement,Type_bâtiment,Année_construction,Adresse_(BAN),Code_postal_(BAN),Code_INSEE_(BAN),Identifiant__BAN,Score_BAN,Conso_5_usages_par_m²_é_primaire,Emission_GES_5_usages_par_m²,Coordonnée_cartographique_X_(BAN),Coordonnée_cartographique_Y_(BAN),id_parcelle_rapprochee
2317E0000657,2022-09-12,G,C,109.0,maison,1930,34 RUE SAINTE CATHERINE 17300 ROCHEFORT,17300,17300,17300_8081_00034,0.98,424.1,24.49,-0.9628,45.9414,17300000C0520
2324E0000372,2021-12-24,F,D,,maison,2019,150 PLACE COLBERT 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3135_00150,0.95,395.2,19.87,0.557,45.087,24016000Z0313
2333E0000467,2022-08-04,D,E,157.0,maison,1962,23 COURS DE L ARGONNE 33000 BORDEAUX,33000,33063,33063_1131_00023,0.92,182.8,5.39,-0.5792,44.8378,33063000C0655
2317E0000728,2022-06-26,B,D,80.0,appartement,1994,131 IMPASSE DES VIGNES 17300 ROCHEFORT,17300,17300,17300_4862_00131,0.95,78.6,5.6,-0.9628,45.9414,17300000E0904
2324E0000842,2023-08-17,D,D,47.0,appartement,2003,55 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9795_00055,0.71,191.7,10.0,0.557,45.087,24016000B0479
2324E0000763,2021-12-02,D,D,72.0,appartement,1983,2 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9950_00002,0.95,196.3,16.5,0.557,45.087,24016000A0297
2324E0000001,2023-10-14,D,D,172.0,maison,1983,123 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8762_00123,0.98,206.5,9.48,0.557,45.087,24016000Z0845
2317E0000212,2022-09-14,E,G,129.0,maison,2019,38 COURS DE L ARGONNE 17300 ROCHEFORT,17300,17300,17300_5622_00038,0.71,245.0,14.93,-0.9628,45.9414,17300000A0984
2333E0000061,2021-03-09,E,D,60.0,appartement,1930,180 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_2858_00180,0.95,246.8,8.1,-0.5792,44.8378,33063000C0483
2324E0000596,2023-05-18,C,E,200.0,maison,1930,146 PLACE COLBERT 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_5833_00146,0.92,151.8,6.8,0.557,45.087,24016000Z0583
2317E0000801,2021-09-15,G,D,30.0,appartement,1975,117 COURS DE L ARGONNE 17300 ROCHEFORT,17300,17300,17300_2121_00117,0.98,523.6,27.0,-0.9628,45.9414,17300000Z0230
2317E0000353,2024-04-16,D,E,75.0,maison,2019,142 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_4880_00142,0.95,178.7,11.63,-0.9628,45.9414,17300000Z0672
2317E0000671,2025-02-12,D,F,117.0,maison,1975,131 AVENUE THIERS 17300 ROCHEFORT,17300,17300,17300_1319_00131,0.92,172.6,7.21,-0.9628,45.9414,17300000C0822
2317E0000791,2023-12-26,D,F,80.0,appartement,2019,161 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_1969_00161,0.71,203.7,14.7,-0.9628,45.9414,17300000B0747
2333E0000832,2025-04-06,E,E,77.0,appartement,2019,52 RUE DU PALAIS 33000 BORDEAUX,33000,33063,33063_2063_00052,0.95,307.4,26.77,-0.5792,44.8378,33063000A0796
2324E0000428,2023-03-05,D,C,78.0,maison,,118 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8078_00118,0.92,199.3,14.33,0.557,45.087,24016000E0639
2324E0000741,2022-07-20,B,F,,maison,2019,168 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9944_00168,0.55,103.2,9.22,0.557,45.087,24016000D0298
2333E0000379,2022-08-31,B,F,52.0,appartement,1994,3 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_1732_00003,0.88,88.1,4.28,-0.5792,44.8378,33063000Z0816
2324E0000633,2021-10-02,G,D,51.0,appartement,1890,11 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3190_00011,0.71,496.1,24.9,0.557,45.087,24016000D0552
