id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2023-100841,2023-05-11,1,Vente,378687.11,115,,RUE DU PALAIS,33000,33063,BORDEAUX,33,33063000E0625,1,1,Maison,97,3,1364,-0.560287,44.85673
2023-100021,2023-09-22,1,Vente,60707.01,48,,ALLEE DES CHENES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0719,2,2,Appartement,47,1,,0.536769,45.109163
2023-100786,2023-12-18,1,Vente,348329.9,19,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000D0934,2,1,Maison,141,6,1152,-0.949779,45.943443
2023-100079,2023-04-18,1,Vente,166631.22,131,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000Z0134,0,2,Appartement,31,1,,-0.539319,44.86531
2023-100609,2023-05-27,1,Vente,512093.87,57,,PLACE COLBERT,17300,17300,ROCHEFORT,17,17300000B0080,0,1,Maison,182,6,2227,-0.994714,45.981398
2023-100814,2023-04-11,1,Vente,80268.89,141,,RUE SAINTE CATHERINE,17300,17300,ROCHEFORT,17,17300000B0454,1,2,Appartement,43,2,,-0.988333,45.927993
2023-100775,2023-09-24,1,Vente,265846.11,7,,PLACE COLBERT,17300,17300,ROCHEFORT,17,17300000E0934,0,1,Maison,108,3,996,-1.006639,45.957269
2023-100761,2024-12-24,1,Vente,149517.95,125,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000B0517,0,2,Appartement,37,1,,-0.625287,44.818651
2023-100276,2023-05-13,1,Vente,566287.07,143,,AVENUE THIERS,17300,17300,ROCHEFORT,17,17300000D0433,0,1,Maison,202,7,703,-1.007831,45.949482
2023-100890,2024-07-20,1,Vente,298717.71,106,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0390,0,1,Maison,181,6,1480,0.511314,45.09107
2023-100355,2024-08-13,1,Vente,336508.91,111,,RUE GAMBETTA,17300,17300,ROCHEFORT,17,17300000C0071,0,1,Maison,145,5,1664,-0.942033,45.930524
2023-100313,2023-04-01,2,Vente,112529.27,20,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0206,1,1,Maison,71,3,2252,0.511915,45.115856
2023-COR-S5,2024-02-08,1,Vente,236502.12,26,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000D0753,0,2,Appartement,-12,2,,-0.551284,44.806407
2023-100686,2025-03-30,1,Vente,327729.3,180,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0925,0,1,Maison,191,9,1829,0.536227,45.054259
2023-100185,2024-02-02,1,Vente,514964.14,130,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000E0848,2,1,Maison,108,5,1349,-0.576804,44.868097
2023-100859,2025-01-25,1,Vente,188495.48,178,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000E0607,0,1,Maison,143,5,832,0.522912,45.064475
2023-100547,2023-03-08,1,Vente,52090.3,177,,RUE GAMBETTA,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0866,2,2,Appartement,41,2,,0.589748,45.059631
2023-100182,2024-08-06,1,Vente,366375.91,135,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000E0955,1,1,Maison,88,3,1317,-0.563093,44.811206
2023-100027,2023-10-09,1,Vente,496284.82,155,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000E0239,0,1,Maison,148,5,866,-0.591413,44.851566
2023-100146,2023-08-29,1,Vente,7434329.25,85,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000C0758,0,1,Maison,199,8,672,-0.580107,44.857297
2023-COR-V10,2024-12-31,1,Vente,,45,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000Z0607,0,1,Maison,158,5,2378,-0.570126,44.851284
2023-100179,2024-01-19,1,Vente,1082037.97,172,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000C0779,2,1,Maison,208,7,530,-0.6013,44.864499
2023-100441,2023-07-02,1,Vente,260741.38,68,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0135,2,1,Maison,202,7,586,0.56363,45.084053
2023-100466,2024-10-19,1,Vente,67232.64,70,,IMPASSE DES VIGNES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0253,2,2,Appartement,42,2,,0.598387,45.119618
2023-100180,2024-03-04,1,Vente,124181.07,134,,RUE GAMBETTA,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0056,0,2,Appartement,58,2,,0.602977,45.115244
2023-100430,2025-04-20,1,Vente,321676.89,134,,AVENUE THIERS,17300,17300,ROCHEFORT,17,17300000D0118,0,1,Maison,180,7,653,-0.932956,45.917342
2023-100883,2023-01-29,1,Vente,39202.52,148,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000B0647,2,1,Maison,84,4,466,-0.625951,44.833754
2023-100232,2023-10-22,1,Vente,483868.13,140,,RUE DU PALAIS,33000,33063,BORDEAUX,33,33063000B0194,1,1,Maison,106,5,2361,-0.614299,44.849954
2023-100210,2025-06-09,1,Vente,517515.87,155,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000E0831,0,1,Maison,149,6,1980,-0.627267,44.866122
2023-100458,2024-05-06,1,Vente,499554.27,21,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000Z0423,0,1,Maison,111,4,1870,-0.565395,44.812056
2023-100557,2023-02-13,1,Vente,381559.97,44,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000Z0837,1,1,Maison,84,3,572,-0.536381,44.860836
2023-100033,2025-01-16,1,Vente,251114.05,92,,ROUTE DE PERIGUEUX,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0300,2,1,Maison,139,5,2187,0.551187,45.091113
2023-100755,2024-02-24,1,Vente,1281259.78,133,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000Z0312,1,1,Maison,209,8,1015,-0.549709,44.87478
2023-100215,2025-04-13,1,Vente,681606.85,21,,ROUTE DE PERIGUEUX,33000,33063,BORDEAUX,33,33063000B0442,2,1,Maison,198,8,1521,-0.590515,44.822932
2023-100166,2023-07-07,1,Vente,82222.82,156,,ALLEE DES CHENES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0561,2,2,Appartement,40,1,,0.532074,45.066491
2023-100702,2024-01-16,1,Vente,148612.23,154,,ROUTE DE PERIGUEUX,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0842,0,2,Appartement,81,3,,0.55724,45.08713
2023-100226,2023-02-15,1,Vente,95458.23,57,,RUE SAINTE CATHERINE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0033,1,2,Appartement,50,2,,0.540884,45.050322
2023-100520,2023-06-08,1,Vente,450941.07,4,,PLACE COLBERT,17300,17300,ROCHEFORT,17,17300000Z0775,0,1,Maison,189,6,1571,-0.945643,45.961709
2023-100844,2023-06-01,1,Vente,205535.26,65,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000E0666,0,2,Appartement,66,2,,-0.917004,45.969706
2023-100773,2024-03-21,1,Vente,206025.34,52,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0892,0,1,Maison,106,4,1800,0.583259,45.105353
2023-100631,2023-08-29,1,Vente,472626.02,131,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000A0297,1,2,Appartement,79,4,,-0.608008,44.800313
2023-100621,2024-02-05,1,Vente,346031.85,40,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000A0933,1,1,Maison,77,3,1604,-0.538865,44.844892
2023-100143,2024-10-01,1,Vente,1552684.95,16,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000C0517,2,2,Appartement,79,3,,-0.967794,45.917561
